ID                               RA                                   DEC                                  period（本次工作）/day              period（VSX）/day
双星：
TIC198408416                     258.913296150883                     58.8644982238934                     0.3647177                      0.364737                     
TIC229793060                     284.719277103882                     69.531289901473                      1.13164248                     1.1232524                     
TIC160472514                     237.705974469604                     72.2112854634019                     6.10330659                     6.16862258                     
TIC302581695                     133.482011577945                     35.5382950638555                     2.04955354                     1.01533                     
TIC377307592                     286.986101370099                     59.397795847705                      1.19537086                     1.1928372                     
TIC446127290                     145.939460374617                     55.9525185328444                     0.33340832                     0.33363749                     
TIC138505004                     157.513310574426                     61.8115085949977                     2.32035277                     2.29926                     
TIC219859691                     257.819404                           69.503026                            0.44547389                     0.44575549                     
TIC199688409                     253.051450226442                     57.7254690748411                     0.86705001                     0.86829                     
TIC298734307                     278.60957977737                      57.8018197868555                     0.94414688                     0.944276                     
TIC155657581                     206.395293725348                     79.3967479665581                     0.36811038                     0.3681414                     
TIC148622555                     154.166677223215                     59.37911128385                       0.63789799                     0.3187                     
TIC67949277                      142.659638875812                     44.7694062429267                     1.78409349                     1.7854                     
TIC390021728                     277.793370193749                     56.4174803715529                     0.30068352                     0.302035                     
TIC424461577                     279.734271912669                     60.3981770091793                     0.74396323                     0.744805                     
TIC356150515                     266.480849952425                     52.6345777495885                     0.61154585                     0.6121                     
TIC356896561                     273.170605468445                     54.7685835617221                     2.26300424                     2.253355                     
TIC232634196                     269.438515156362                     56.1959571190052                     1.25544064                     1.25118702                     
TIC441734144                     258.558159916703                     76.7039749733981                     0.32545376                     0.3254                     
TIC259126645                     291.479391048899                     68.9353213670448                     3.25618521                     3.2613024                     
TIC219109908                     271.376635                           69.754299                            0.42466272                     0.424031                     
TIC392536812                     280.467443624562                     58.056473125928                      0.59115996                     0.4561                     
TIC142791832                     162.258119571478                     67.2145299044215                     6.50888381                     6.541975                     
TIC258351350                     296.510583454716                     69.9191670524257                     0.77311916                     0.772943                     
TIC258773798                     286.177895898528                     66.301988442057                      0.33864886                     0.3364708                     
TIC198354443                     256.129673827745                     57.0727528503737                     0.30700057                     0.3068937                     
TIC372759279                     175.006000474798                     75.1559630488694                     1.23584238                     1.2383832                     
TIC377190161                     285.675104935268                     58.7327574681774                     3.76554411                     3.7863886                     
TIC159298033                     229.489585183753                     83.8594649403654                     1.72387288                     1.7248                     
TIC126325291                     135.481045726792                     26.6896519726613                     0.83142742                     0.82937122                     
TIC160268882                     183.049779385209                     77.6162433473298                     1.27377376                     1.27095                     
TIC359677968                     280.940172256535                     57.9481465563102                     0.61696766                     0.61747                     
TIC288391801                     267.235295644716                     78.1228551557427                     0.38847909                     0.390585                     
TIC219738202                     241.572363436014                     62.7628026946829                     0.58077364                     0.57902455                     
TIC138543573                     158.981920379672                     63.5923368497075                     1.16636351                     1.164708                     
TIC237278994                     299.659091750796                     72.2385810733348                     0.34945634                     0.3429639                     
TIC280033934                     297.58946706991                      70.2876512602732                     0.27932846                     0.27878                     
TIC236901679                     303.923299241119                     65.8536108329023                     1.73578207                     1.7184                     
TIC199716496                     254.391167552351                     59.5310685980902                     1.05183066                     1.04577                     
TIC358613523                     175.102893762966                     80.2359806993476                     1.32945631                     1.32833335                     
TIC188512866                     143.843798001195                     39.9632727447417                     1.67959454                     1.68154                     
行星凌星：
TIC288132261                     209.48505034233                      79.5831895369524                     10.29356724                    0                           
TIC99834717                      165.167425763115                     64.9639847690129                     1.70579907                     1.706291                     
TIC1201247611                    242.891560826145                     63.1421907902039                     0.03451982                     0.034521                     
TIC252479260                     155.681635157909                     50.1283509605951                     3.2171668                      3.21222                     
TIC67666096                      148.643279471745                     40.3880497164344                     2.70641531                     2.70339                     
TIC198537349                     237.124491234624                     62.344350873364                      9.57365182                     0                            
TIC236887394                     303.381740156372                     65.1620808095522                     1.42226733                     1.420033                     
TIC8767448                       140.102976595763                     33.8824166051525                     4.35162799                     4.35298                     
脉动变星：
TIC3941985                       151.931085320674                     23.9917561622067                     0.45574912                     0.4524021                     
TIC154066690                     207.155547917366                     71.4306204565527                     0.48831983                     0.48452                     
TIC105440997                     143.526276437919                     44.0364549894309                     1.95246875                     1.9444                     
TIC103687873                     153.933709226508                     68.9090466153105                     1.01073743                     0.50279                     
TIC232633119                     269.392283474087                     58.7373020345292                     3.39013654                     3.2408                     
TIC29172363                      135.811479225181                     42.1235591074319                     1.50831161                     1.488027                     
TIC258799679                     286.609674989266                     68.4837744482039                     0.11803563                     0.1181533                     
TIC308016265                     150.00712608773                      24.5528050323807                     1.05172541                     1.07172                     
TIC229480487                     295.524850018799                     65.780496212015                      1.2854759                      1.2792                     
TIC441804674                     266.045477566202                     72.0507774364511                     4.54627061                     4.2658                     
TIC357032546                     274.069894827031                     54.1726679387905                     0.45576915                     0.4587                     
TIC137803552                     177.175272205585                     54.7187570142753                     0.09145913                     0.09134218                     
TIC232634683                     269.495547150368                     55.1021847578169                     0.63595842                     0.6374                     
TIC236778955                     282.889793257901                     57.7576201432859                     1.01121492                     1.0238                     
TIC229913521                     287.427531016791                     64.8589261858533                     0.47717843                     0.476497                     
TIC142619583                     171.105623564313                     77.7043414391159                     0.05581406                     0.05581096                     
TIC156198986                     180.822255325134                     80.5618693557361                     0.08626503                     0.086343043                     
TIC280163882                     298.675053584447                     68.9892988687725                     1.12440048                     1.12456                     
TIC103687176                     153.931561853595                     66.0786634255458                     0.59181094                     0.5974                     
TIC288312840                     262.663855360878                     78.931211435438                      0.75770561                     0.75895                     
TIC142848794                     174.485863152031                     67.3297391178305                     0.66697086                     0.66042001                     
TIC86339506                      143.443944398223                     62.8278483146773                     3.41782586                     0                                
TIC357132618                     144.22148060975                      44.0667780793113                     0.08595781                     0.086017069                     
TIC150276417                     161.046994382529                     44.678925937063                      0.20256443                     0.20319389                     
TIC29172806                      135.782444385787                     44.5855896133704                     0.59422398                     0.597434355                     
TIC142962481                     181.140545498139                     66.3365872338658                     3.03843603                     0                               
TIC230086683                     246.784304204707                     66.4373950645344                     0.93951989                     0.9449                     
TIC356822358                     275.18909                            71.337774                            1.70484677                     1.71646                     
TIC147949646                     167.415779804503                     67.2102103044906                     3.41821398                     3.51556                      
TIC302602874                     133.842526769694                     32.7100812416275                     2.99193605                     0.0050692                      
TIC56914404                      139.571584693773                     46.1531426304267                     0.09591019                     0.09586954
耀星：                     
