ID                  RA_OBJ         DEC_OBJ        Teff           logg       
                    (deg)          (deg)          (k)            (cm/s2) 
TIC 11891656        176.404421     53.786148      6211.81005859  3.5766201      
TIC 159464225       244.427418     78.015656      5842.0         4.51277018     
TIC 82224073        150.90056      27.987085      4718.52978516  None           
TIC 16148091        136.635157     36.546071      5776.91992188  4.35931015     
TIC 229411011       293.096217     60.627505      5969.0         4.37254        
TIC 160438083       236.105169     76.876782      6183.0         4.38343        
TIC 252487700       157.013651     48.963968      4994.27978516  None           
TIC 219117614       272.481245     69.680497      4958.0         4.51186991     
TIC 284867505       132.066404     34.604348      5268.0         4.53829002     
TIC 137889078       151.483245     58.470763      4364.0         None           
TIC 99900760        167.609702     63.661363      4010.0         None           
TIC 334780420       247.617949     63.570811      7024.62988281  3.67490005     
TIC 26982875        150.267233     21.578776      4859.14013672  None           
TIC 137936479       152.314155     57.990301      5241.0         4.61977005     
TIC 199504947       213.703306     75.298312      5727.0         4.53278017     
TIC 416401395       287.875772     58.533896      8058.0         4.12512016     
TIC 264299562       295.834781     69.489071      7424.0         4.28593016     
TIC 198491466       196.906616     76.06928       4602.0         None           
TIC 4991306         149.500128     30.606662      4674.0         None           
TIC 229608720       274.651034     74.86259       5855.0         4.43999004     
TIC 138558387       174.380048     64.429106      5215.0         4.5532198      
TIC 141147258       166.17129      56.100388      4442.0         None           
TIC 160535351       241.556255     73.650897      4154.0         None           
TIC 139418391       154.357468     32.77305       6787.50976563  4.27560997     
TIC 103805387       159.323633     67.150641      6003.0         4.50298023     
TIC 272670678       233.894142     71.397335      4501.0         None           
TIC 233511918       270.739384     50.431755      5592.0         4.3663702      
TIC 229498188       296.524399     63.508582      6890.58984375  4.2601099      
TIC 137650046       139.475947     56.782334      6280.79980469  4.34769011     
TIC 359679515       280.991253     55.322677      7168.0         4.25555992     
TIC 147625765       184.23482      64.790484      5746.0         4.45057011     
TIC 159570515       207.439663     61.489306      4936.0         None           
TIC 441807376       266.120809     75.057376      3979.0         None           
TIC 233175577       216.800592     69.496106      6687.0         4.21903992     
TIC 103689487       154.166833     66.771132      4659.0         None           
TIC 307985697       257.102097     64.319097      None           None           
