 ID                  RA_OBJ         DEC_OBJ        Teff           logg       
                     (deg)          (deg)          (k)            (cm/s2) 
 TIC 335661706       217.181149     81.753895      6661.0         4.12553978     
 TIC 393852409       146.312394     45.912401      31000.0        5.59961987     
 TIC 270526513       251.49265      82.037263      5064.0         None           
 TIC 55753802        181.582466     57.176441      6322.35009766  4.05577993     
 TIC 417849730       152.258193     64.444609      6334.0         4.33437014     
 TIC 359552377       279.398308     57.74432       6487.0         3.82029009     
 TIC 233679640       260.336652     60.058201      4431.83007813  None           
 TIC 298666271       278.351504     58.706485      7304.0         3.9356699      
 TIC 389916225       275.772545     58.903563      7392.0         4.14940023     
 TIC 406781370       170.523508     46.725984      6593.18994141  3.64492989     
 TIC 367838785       275.879592     74.16798       8780.0         3.99045992     
 TIC 441791928       262.964382     77.342612      6609.0         3.51320004     
 TIC 332144364       129.866856     34.898579      4266.0         None           
 TIC 166584321       135.454775     32.851635      3646.0         4.81027985     
 TIC 159298033       229.489585     83.859465      7204.0         4.00668001     
 TIC 219738202       241.572363     62.762803      7106.0         3.96671009     
 TIC 230063769       229.977957     69.416828      5786.0         4.31614017     
 TIC 219435542       205.435223     74.320471      6264.0         4.03587008     
 TIC 359631482       280.15767      57.494867      5393.0         None           
 TIC 137905775       151.754309     54.37125       4052.0         4.26173019     
 TIC 258351350       296.510583     69.919167      8015.0         4.05840015     
 TIC 138578906       175.759461     60.576863      6263.0         4.05319023     
 TIC 441804260       265.488934     72.984494      3201.0         4.97629976     
 TIC 359497418       279.168795     57.055881      6081.0         3.67146993     
 TIC 329246824       263.88467      57.802518      6745.0         4.07519007     
 TIC 267813367       293.287862     59.396066      9806.0         3.73870993     
 TIC 232524483       193.475474     77.203689      6431.0         4.16723013     
 TIC 233635280       146.047415     25.353183      5938.5         3.96380997     
 TIC 229476285       295.534548     60.482994      6489.0         4.12789011     
 TIC 284891650       260.560562     56.750315      6574.0         4.03792        
 TIC 154014160       206.818427     68.340892      3252.0         4.95349979     
 TIC 147686743       189.90193      64.674345      None           None           
 TIC 356015357       254.309401     68.57416       7934.0         3.97164011     
 TIC 224605072       255.599174     58.86998       6923.0         3.93744993     
 TIC 138558673       174.405396     62.713076      6813.08984375  4.09802008     
 TIC 316450573       221.757204     63.727         6291.0         4.13822985     
 TIC 198407749       258.73664      58.857889      4790.0         4.36183023     
 TIC 198457457       261.834402     56.374976      6565.0         4.12466002     
 TIC 147938514       166.662663     70.307255      5287.0         None           
 TIC 39074957        139.711033     36.802576      9183.0         4.11206007     
 TIC 153991851       204.736733     69.803103      6868.0         4.15586996     
 TIC 308015513       149.845486     27.397745      5683.81982422  4.26311016     
 TIC 88646716        135.850525     38.098499      5951.66015625  4.09030008     
 TIC 399788405       278.163297     57.648313      6847.0         4.1212101      
 TIC 356896550       273.119865     54.781367      5926.0         3.32787991     
 TIC 280033918       297.6168       70.305272      5526.0         3.89315009     
 TIC 377253090       286.192292     58.951286      None           None           
 TIC 103743317       156.722351     69.070141      3459.0         4.83397007     
 TIC 441739153       259.42568      72.102704      8081.0         4.04293013     
 TIC 156103261       166.569764     79.314889      5967.0         4.51505995     
 TIC 318230704       162.892976     50.254707      7598.0         4.02717018     
 TIC 353894978       271.685973     56.407056      6292.0         3.95081997     
 TIC 229771234       282.267748     68.156951      4000.0         4.42898989     
 TIC 160268882       183.049779     77.616243      6823.47998047  4.01346016     
 TIC 259006185       290.341392     70.208106      7130.0         4.30752993     
 TIC 321441576       164.099719     41.127306      5500.91992188  4.34529018     
 TIC 199688472       253.140304     57.974005      5786.0         4.12522984     
 TIC 155657581       206.395294     79.396748      3456.0         4.62081003     
 TIC 150251466       155.362294     47.870745      8147.0         4.04904985     
 TIC 160519380       240.277916     77.148319      3899.0         4.42569017     
 TIC 329289186       269.18834      52.865675      7532.0         4.59713984     
 TIC 328933458       213.319729     84.562966      7340.0         None           
 TIC 53479497        162.075026     52.308278      4557.0         4.87432003     
 TIC 394030788       282.204074     80.673928      5231.0         4.47736979     
 TIC 445836238       187.548635     63.889033      5423.0         3.96221995     
 TIC 142865103       175.660878     70.661783      6203.0         3.82572007     
 TIC 356340346       268.364591     52.385462      6898.0         3.36104012     
 TIC 288507910       271.538392     81.941561      6261.0         3.78555989     
 TIC 457139088       141.448607     49.454174      6455.0         4.38872004     
 TIC 224299764       185.575391     57.07456       5457.89013672  4.65888977     
 TIC 172933154       129.006132     30.018013      6196.0         4.03945017     
 TIC 86232609        139.845278     62.054694      3829.0         4.38859987     
 TIC 336006777       282.151722     72.694137      5801.0         4.5417099      
 TIC 219092860       269.057261     68.11992       4461.0         4.61767006     
 TIC 202442974       227.935103     63.62198       8445.0         None           
 TIC 142618244       170.601805     73.075515      6756.0         4.37406015     
 TIC 103573024       149.971191     71.098198      4753.0         None           
 TIC 86385104        146.329247     65.741047      6278.0         3.88986993     
 TIC 310994603       203.710117     65.255036      6507.0         3.91531992     
 TIC 8245065         157.36156      39.768995      6154.06982422  3.36468005     
 TIC 390021728       277.79337      56.41748       5717.16992188  4.39683008     
 TIC 356896561       273.170605     54.768584      None           None           
 TIC 289716926       159.089491     55.803927      5102.25976563  4.23999023     
 TIC 459786991       144.178674     56.970163      7537.35986328  3.9140501      
 TIC 148963419       190.061248     66.285991      7302.0         4.32932997     
 TIC 272781956       238.240301     68.724989      6189.0         3.96948004     
 TIC 235684525       288.049134     77.527278      3268.0         4.84215021     
 TIC 198242678       249.766583     60.69966       5409.0         None           
 TIC 138558460       174.387813     63.957234      4405.0         4.2218399      
 TIC 232681393       282.36523      57.839934      8223.0         4.05342007     
 TIC 263968694       288.529557     78.266387      4792.0         None           
 TIC 458479571       233.197331     65.407385      5694.0         4.10370016     
 TIC 39065113        139.112742     36.979258      6028.02001953  3.82602        
 TIC 417851133       159.582779     60.124537      6437.0         3.82833004     
 TIC 188512866       143.843798     39.963273      6902.06005859  3.9309299      
 TIC 198416591       260.091198     57.974181      6123.0         4.25509977     
